id,rid,date,rating,text,sentiment_raw,confidence,sentiment
UmV2aWV3OnRlYWwtcG90aW9uLTQ=,teal-potion-4,2023-05-18,5,Unique flavor and great energy boost. It's the perfect gamer's drink!,POSITIVE,0.9998904466629028,Positive
UmV2aWV3OnJlZC1wb3Rpb24tNA==,red-potion-4,2023-05-17,5,Good flavor and keeps me energized. The bottle design is really fun.,POSITIVE,0.999889612197876,Positive
UmV2aWV3OmRyYWdvbi1wb3Rpb24tNA==,dragon-potion-4,2023-05-16,4,Excellent energy drink for gamers. The tropical flavor is refreshing.,POSITIVE,0.9998767375946045,Positive
UmV2aWV3OmJsdWUtZW5lcmd5LXBvdGlvbi02,blue-energy-potion-6,2023-05-15,5,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",POSITIVE,0.999864935874939,Positive
UmV2aWV3OmNsYXNzaWMtbGVhdGhlci1zbmVha2Vycy0xMA==,classic-leather-sneakers-10,2023-05-15,5,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",POSITIVE,0.9998451471328735,Positive
UmV2aWV3OmRhcmstcmVkLXBvdGlvbi00,dark-red-potion-4,2023-05-12,5,The cherry cola flavor is a win. Keeps me energized and focused.,POSITIVE,0.9998745918273926,Positive
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTI=,kids-light-up-sneakers-12,2023-05-10,5,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,POSITIVE,0.9998632669448853,Positive
UmV2aWV3Omhpa2luZy1ib290cy1vdXRkb29yLTEy,hiking-boots-outdoor-12,2023-05-01,5,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,POSITIVE,0.9998654127120972,Positive
UmV2aWV3OmNhdC1lYXItYmVhbmllLTEw,cat-ear-beanie-10,2023-05-01,4,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",POSITIVE,0.9984560012817383,Positive
UmV2aWV3OmJsdWUtZW5lcmd5LXBvdGlvbi01,blue-energy-potion-5,2023-04-25,5,Really enjoyed the citrus flavor and the energy boost it gives.,POSITIVE,0.9998840093612671,Positive
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTE=,kids-light-up-sneakers-11,2023-04-25,3,"Great concept, but the sizing is a bit off. Order a size larger.",NEGATIVE,0.9941918253898621,Negative
UmV2aWV3OmNob2NvbGF0ZS1jYW5keS1ib3gtMTA=,chocolate-candy-box-10,2023-04-18,5,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",POSITIVE,0.9998902082443237,Positive
UmV2aWV3Omhpa2luZy1ib290cy1vdXRkb29yLTEx,hiking-boots-outdoor-11,2023-04-12,4,"The boots are durable, but the laces could be better quality.",POSITIVE,0.8142091631889343,Positive
UmV2aWV3OmRyYWdvbi1wb3Rpb24tMw==,dragon-potion-3,2023-04-11,5,This potion is a game changer. Love the energy boost and the flavor.,POSITIVE,0.9998190999031067,Positive
UmV2aWV3Om1lbi1ydW5uaW5nLXNob2VzLTEw,men-running-shoes-10,2023-04-10,5,"Light, comfortable, and nice design. I'm buying another pair.",POSITIVE,0.9998525381088257,Positive
UmV2aWV3OmtpZHMtbGlnaHQtdXAtc25lYWtlcnMtMTA=,kids-light-up-sneakers-10,2023-04-10,5,Highly recommend! These shoes are great for evening walks. Kids love them!,POSITIVE,0.9998764991760254,Positive
UmV2aWV3OnJlZC1wb3Rpb24tMw==,red-potion-3,2023-04-09,4,It's like a health potion for gamers! The energy boost is spot on.,POSITIVE,0.99863201379776,Positive
UmV2aWV3OnRlYWwtcG90aW9uLTM=,teal-potion-3,2023-04-07,5,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,POSITIVE,0.9998599290847778,Positive
